Target Distance: 1233, Step Size: 12
0: (x,y) = (0, 0)
1: (x,y) = (11.0461, -4.68877)
2: (x,y) = (8.96228, 7.12892)
3: (x,y) = (10.2166, -4.80534)
4: (x,y) = (8.54654, -16.6886)
5: (x,y) = (19.3321, -11.4281)
6: (x,y) = (7.79693, -14.7358)
7: (x,y) = (19.3321, -18.0434)
8: (x,y) = (7.51438, -15.9596)
9: (x,y) = (19.2522, -13.4647)
10: (x,y) = (20.7146, -1.55413)
11: (x,y) = (32.5978, -3.22421)
12: (x,y) = (20.5978, -3.22421)
13: (x,y) = (17.0893, -14.6999)
14: (x,y) = (8.03282, -6.82716)
15: (x,y) = (-3.95987, -7.24595)
16: (x,y) = (8.03282, -6.82716)
17: (x,y) = (19.379, -2.92034)
18: (x,y) = (22.6867, 8.6148)
19: (x,y) = (10.869, 6.53102)
20: (x,y) = (-0.47722, 10.4378)
21: (x,y) = (6.23309, 20.3863)
22: (x,y) = (17.2792, 15.6975)
23: (x,y) = (29.2134, 14.4432)
24: (x,y) = (30.8835, 2.55996)
25: (x,y) = (38.7562, 11.6165)
26: (x,y) = (50.3473, 8.51065)
27: (x,y) = (61.9384, 5.40482)
28: (x,y) = (49.9677, 4.56774)
29: (x,y) = (45.2789, -6.47832)
30: (x,y) = (36.5026, -14.6623)
31: (x,y) = (40.0111, -3.18664)
32: (x,y) = (28.965, 1.50213)
33: (x,y) = (40.6575, 4.20155)
34: (x,y) = (52.4752, 6.28532)
35: (x,y) = (48.3709, -4.99099)
36: (x,y) = (59.1565, 0.269466)
37: (x,y) = (47.7438, 3.97767)
38: (x,y) = (43.6395, -7.29864)
39: (x,y) = (35.7668, -16.3552)
40: (x,y) = (23.8125, -15.3093)
41: (x,y) = (17.4535, -5.13271)
42: (x,y) = (7.16745, -11.3132)
43: (x,y) = (15.9437, -19.4971)
44: (x,y) = (25.0002, -11.6244)
45: (x,y) = (27.084, 0.193253)
46: (x,y) = (24.7943, -11.5863)
47: (x,y) = (15.4685, -4.03443)
48: (x,y) = (8.41511, -13.7426)
49: (x,y) = (-0.0701723, -5.25735)
50: (x,y) = (-7.45811, 4.19878)
51: (x,y) = (-2.76934, 15.2448)
52: (x,y) = (2.1115, 4.28229)
53: (x,y) = (-5.11028, -5.30133)
54: (x,y) = (-5.73831, 6.68222)
55: (x,y) = (-3.0389, -5.01022)
56: (x,y) = (-15.0097, -5.8473)
57: (x,y) = (-3.96361, -1.15853)
58: (x,y) = (6.3224, 5.02193)
59: (x,y) = (-0.0366298, -5.15465)
60: (x,y) = (-6.91955, 4.67518)
61: (x,y) = (-10.8264, -6.67104)
62: (x,y) = (0.519858, -2.76423)
63: (x,y) = (6.51986, 7.62808)
64: (x,y) = (4.84978, -4.25514)
65: (x,y) = (0.745539, -15.5314)
66: (x,y) = (-8.1722, -7.50188)
67: (x,y) = (2.00438, -1.14285)
68: (x,y) = (3.25872, 10.7914)
69: (x,y) = (-1.62212, -0.171134)
70: (x,y) = (-12.1176, 5.64658)
71: (x,y) = (-15.8258, 17.0593)
72: (x,y) = (-25.4094, 24.281)
73: (x,y) = (-37.4076, 24.4905)
74: (x,y) = (-28.215, 16.777)
75: (x,y) = (-33.2864, 5.90132)
76: (x,y) = (-22.4108, 0.829905)
77: (x,y) = (-33.6871, 4.93415)
78: (x,y) = (-34.1059, 16.9268)
79: (x,y) = (-26.2331, 7.87032)
80: (x,y) = (-14.7575, 4.36186)
81: (x,y) = (-6.72792, 13.2796)
82: (x,y) = (-3.6221, 1.68849)
83: (x,y) = (2.3779, 12.0808)
84: (x,y) = (13.2536, 7.00937)
85: (x,y) = (22.1713, 15.0389)
86: (x,y) = (30.6566, 23.5242)
87: (x,y) = (21.073, 16.3024)
88: (x,y) = (13.5211, 25.6282)
89: (x,y) = (24.0166, 31.4459)
90: (x,y) = (28.7054, 20.3999)
91: (x,y) = (36.4188, 29.5924)
92: (x,y) = (45.8749, 36.9803)
93: (x,y) = (56.0515, 43.3394)
94: (x,y) = (67.7893, 45.8343)
95: (x,y) = (56.0098, 43.5446)
96: (x,y) = (48.9563, 33.8364)
97: (x,y) = (49.5844, 21.8528)
98: (x,y) = (38.1087, 18.3444)
99: (x,y) = (47.4345, 25.8962)
100: (x,y) = (35.9588, 22.3878)
101: (x,y) = (24.0483, 23.8502)
102: (x,y) = (17.3379, 33.7986)
103: (x,y) = (27.9333, 28.165)
104: (x,y) = (39.7128, 30.4547)
105: (x,y) = (41.7966, 18.637)
106: (x,y) = (53.7893, 19.0558)
107: (x,y) = (44.3332, 26.4437)
108: (x,y) = (36.7813, 17.118)
109: (x,y) = (46.6112, 10.2351)
110: (x,y) = (54.7951, 19.0113)
111: (x,y) = (59.0955, 30.2143)
112: (x,y) = (70.8751, 32.504)
113: (x,y) = (75.9465, 21.6283)
114: (x,y) = (83.9761, 12.7105)
115: (x,y) = (95.4517, 16.219)
116: (x,y) = (88.5688, 6.38918)
117: (x,y) = (81.347, -3.19445)
118: (x,y) = (93.3452, -2.98502)
119: (x,y) = (88.2738, -13.8607)
120: (x,y) = (77.3981, -8.7893)
121: (x,y) = (65.807, -11.8951)
122: (x,y) = (63.7232, -23.7128)
123: (x,y) = (53.5466, -17.3538)
